Borough,Median_Income,Longitude,Latitude,Perc_White,Perc_Black,Perc_Asian,Perc_Other,Perc_Hispanic
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,30437,40.8448,73.8648,0.324,0.124,0.052,0.023,0.477
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,18674,40.8448,73.8648,0.066,0.154,0.061,0.022,0.696
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,26136,40.8448,73.8648,0.069,0.655,0.026,0.023,0.226
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,18674,40.8448,73.8648,0.066,0.154,0.061,0.022,0.696
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,31573,40.8448,73.8648,0.293,0.285,0.03,0.022,0.371
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Manhattan,24561,40.7831,73.9712,0.286,0.215,0.083,0.037,0.379
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,25358,40.8448,73.8648,0.218,0.215,0.076,0.022,0.47
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Manhattan,24561,40.7831,73.9712,0.286,0.215,0.083,0.037,0.379
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,14213,40.8448,73.8648,0.045,0.301,0.008,0.011,0.635
Bronx,18674,40.8448,73.8648,0.066,0.154,0.061,0.022,0.696
